stationId,name
6034,Sindal Lufthavn
6068,Isenvad
6082,Borris
6110,Flyvestation Skrydstrup
6120,H. C. Andersen Airport
6072,Ødum
6031,Tylstrup
6060,Flyvestation Karup
6096,Rømø/Juvre
6108,Kolding Lufthavn
6069,Foulum
6074,Kirstinesminde Flyveplads
6124,Sydfyns Flyveplads
6093,Vester Vedsted
6079,Anholt Fyr
6124,Elvira Madigan Airport
6102,HORSENS/BYGHOLM
6058,Hvide Sande
6056,Mejrup
6116,Store Jyndevad
6118,Sønderborg Lufthavn
6034,Sindal Flyveplads
6088,Nordby
6102,Bygholm Landbrugsskole
6081,Blåvandshuk Fyr
6079,Anholt By
6120,Odense Lufthavn
6080,Esbjerg Lufthavn
6032,Stenhøj
6119,Kegnæs Fyr
6104,Billund Lufthavn
6051,Vestervig
6041,Skagen Fyr
6123,Tvingsbjerg Fyr
6065,Års Syd
6073,Sletterhage Fyr
6049,Hald Vest
6052,Thyborøn
6079,Anholt Havn
6126,Årslev
6123,Assens/Torø
6132,Tranebjerg Øst
6109,Askov
6070,Århus Lufthavn
6030,Flyvestation Ålborg
6019,Silstrup
6065,Ålestrup
6074,Århus Syd
6111,Bågø Fyr
6089,Sædenstrand Fyr
6043,Frederikshavn
6071,Fornæs Fyr
